gene,log2FC,p_value
ENSG00000000003,0.07949351901798987,0.10809773630632533
ENSG00000000005,0.5501595155965379,0.36912095621039864
ENSG00000000419,0.059138882286337846,0.41320102762908495
ENSG00000000457,-0.1076649339653334,0.009358871642103715
ENSG00000000460,-0.05043948374957118,0.5286777812278749
ENSG00000000938,0.21302729380212435,0.024341485951637987
ENSG00000000971,0.020717090139927997,0.5645382504737781
ENSG00000001036,-0.12987302429178926,0.022119548001371194
ENSG00000001084,-0.04033489809733619,0.46715735835304684
ENSG00000001167,0.1182778886085475,0.003983735453489911
ENSG00000001460,-0.04418969213464519,0.5228311490552722
ENSG00000001461,0.028420634197208736,0.6546642032254569
ENSG00000001497,-0.04677701961835225,0.2253675480753417
ENSG00000001561,-0.07600542706290368,0.21094782611469634
ENSG00000001617,0.3444204937939172,7.031176795594983e-05
ENSG00000001626,0.5550851384041238,0.04960192135007767
ENSG00000001629,0.04460994278099888,0.21862574040347343
ENSG00000001631,0.12722551285260236,0.021513870615486916
ENSG00000002016,0.15562942800143134,0.011345653272794918
ENSG00000002079,0.0034572793263912376,0.9996867743014701
ENSG00000002330,-0.062798842892683,0.3571604316771254
ENSG00000002549,-0.1134378781731709,0.03482306690503804
ENSG00000002586,-0.043042469291777845,0.4019789707989343
ENSG00000002587,0.8827712980681726,0.03906872399898653
ENSG00000002726,0.1108303011210549,0.6096566010530411
ENSG00000002745,-0.15223664324006864,0.5885171982949421
ENSG00000002746,0.7753193956106861,0.657176450553073
ENSG00000002822,-0.08386259489576894,0.042547748861280765
ENSG00000002834,-0.03653280476076578,0.36186964898094365
ENSG00000002919,-0.052619798426634154,0.427132174711615
ENSG00000002933,-0.004688486805046313,0.9519315165490547
ENSG00000003056,0.15932606520181042,0.009036512438089214
ENSG00000003096,-0.1521470542206825,0.13294033886055406
ENSG00000003137,-0.012489717473672389,0.9585092117974536
ENSG00000003147,0.2689528768219698,0.030036459965957923
ENSG00000003249,-0.2689869586447709,0.08895106004431422
ENSG00000003393,0.11477273379903433,0.021130694627307718
ENSG00000003400,0.09544611065940008,0.031739510204755725
ENSG00000003402,0.18153417116485263,0.0021416306718465526
ENSG00000003436,-0.2627979086041887,0.0001401162633538717
ENSG00000003509,-0.026630515159044296,0.46504705609012575
